Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Real Madrid,Ronaldo,Successful Pass,0,33,63,18,57,19
Real Madrid,Ronaldo,  Unsuccessful Pass,0,37,57,5,57,13
Real Madrid,Ronaldo,Dribble,0,40,59,6,57,11
Real Madrid,Ronaldo,Dribble,0,41,57,12,61,16
Real Madrid,Ronaldo,Successful Pass,0,48,62,4,59,14
Real Madrid,Ronaldo,Successful Pass,0,53,68,5,92,8
Real Madrid,Ronaldo,  Unsuccessful Pass,1,13,72,52,68,52
Real Madrid,Ronaldo,Dribble,1,31,87,26,93,26
Real Madrid,Ronaldo,Shot,1,32,93,25,100,38
Real Madrid,Ronaldo,Successful Pass,1,58,93,26,84,34
Real Madrid,Ronaldo,Successful Pass,2,27,67,11,73,7
Real Madrid,Ronaldo,Cross,2,31,76,82,87,52
Real Madrid,Ronaldo,Successful Pass,2,46,63,13,56,13
Real Madrid,Ronaldo,Shot,2,54,87,32,100,61
Real Madrid,Ronaldo,Goal,3,8,91,35,100,58
Real Madrid,Ronaldo,Cross,4,20,96,10,87,35
Real Madrid,Ronaldo,  Unsuccessful Pass,4,23,82,54,89,41
Real Madrid,Ronaldo,Successful Pass,4,28,79,63,66,64
Real Madrid,Ronaldo,Successful Pass,4,38,87,25,93,23
Real Madrid,Ronaldo,Goal,4,42,92,51,100,45
Real Madrid,Ronaldo,Goal,5,41,82,26,100,57
Real Madrid,Ronaldo,Successful Pass,6,20,48,5,42,9
Real Madrid,Ronaldo,Cross,6,26,91,16,95,47
Real Madrid,Ronaldo,Successful Pass,6,30,43,69,35,71
Real Madrid,Ronaldo,Successful Pass,6,46,43,94,48,85
Real Madrid,Ronaldo,Successful Pass,6,56,13,85,20,70
Real Madrid,Ronaldo,Cross,7,2,4,72,0,60
Real Madrid,Ronaldo,Successful Pass,7,23,44,92,36,81
Real Madrid,Ronaldo,Successful Pass,7,26,38,84,32,93
Real Madrid,Ronaldo,Successful Pass,7,29,37,87,44,89
Real Madrid,Ronaldo,Successful Pass,7,35,19,68,12,73
Real Madrid,Ronaldo,Goal,7,41,3,59,0,58
Real Madrid,Ronaldo,Successful Pass,8,33,28,47,23,41
Real Madrid,Ronaldo,Shot,8,42,16,65,0,61
Real Madrid,Ronaldo,Shot on Target,8,57,6,60,5,57
Real Madrid,Ronaldo,Successful Pass,9,14,38,86,39,93
Real Madrid,Ronaldo,Successful Pass,9,18,38,68,37,43
Real Madrid,Ronaldo,Cross,9,24,15,73,12,57
Real Madrid,Ronaldo,  Unsuccessful Pass,9,29,21,74,19,67
Real Madrid,Ronaldo,Successful Pass,9,45,17,82,9,72
Real Madrid,Ronaldo,Shot,9,49,9,58,0,59
Real Madrid,Ronaldo,Cross,10,26,24,20,1,68
Real Madrid,Ronaldo,Shot,10,38,6,54,1,59
Real Madrid,Ronaldo,Successful Pass,10,58,21,81,14,86
Real Madrid,Ronaldo,Shot,11,3,13,62,1,43
Real Madrid,Ronaldo,Free kick,11,38,27,64,1,60
Real Madrid,Ronaldo,Shot,12,15,7,40,1,56
Real Madrid,Ronaldo,  Unsuccessful Pass,12,34,13,27,11,40
Real Madrid,Ronaldo,Goal,12,40,7,57,1,56
